fid,DISTRICT,FIRST_STAT,Total number of holdings of broom grass_amriso,Total area (ha) of holding of broom grass_amriso,Total number of holdings of thatch,Total area (ha) of holding of thatch,Total number of holdings of bamboo,Total area (ha) of holding of bamboo,Total number of holdings of other permanent crops,Total area (ha) of holding of other permanent crops
1,ACHHAM,7,247,5.5,8052,631.8,2118,7.2,3309,60
2,ARGHAKHANCHI,5,5376,198.8,24577,5244,13417,141.3,2401,94.7
3,BAGLUNG,4,1019,29,11209,2360.4,5899,35,1185,33.7
4,BAITADI,7,38,4.2,1740,236.3,650,0.5,3161,3.9
5,BAJHANG,7,,,2666,301.2,104,2.9,619,4.9
6,BAJURA,7,8,0,298,40.1,70,0,98,0.5
7,BANKE,5,,,,0,519,0,2043,22.3
8,BARA,2,,,40,1.9,934,43.3,991,11.5
9,BARDIYA,5,,,16,0.6,3042,1.3,7857,51.3
10,BHAKTAPUR,3,,,,0,42,6.4,614,0
11,BHOJPUR,1,1242,128.5,2452,538.3,4738,45.1,2703,49.6
12,CHITAWAN,3,121,5,75,11.4,2006,12.1,3386,57.3
13,DADELDHURA,7,440,69.9,6188,903.4,1301,3.8,2576,5.6
14,DAILEKH,6,135,2.1,901,33.7,706,4.6,833,22.1
15,DANG,5,868,10.5,2974,360,4983,18.3,4510,41.8
16,DARCHULA,7,34,0.1,6815,1315.2,1082,3.5,693,14.8
17,DHADING,3,333,19.1,585,35.6,1777,3.3,571,7.3
18,DHANKUTA,1,7142,1111.3,1527,276.8,5981,78.3,1165,27.6
19,DHANUSHA,2,,,39,4.2,4387,92.5,5306,172.1
20,DOLAKHA,3,2463,196.4,1190,161.1,4574,14.6,1268,90.7
21,DOLPA,6,,,,0,,0,,0
22,DOTI,7,189,2,505,49.3,593,1.3,1490,12.2
23,GORKHA,4,184,6.8,840,86.4,3415,17.8,866,26.8
24,GULMI,5,2156,129.5,36430,9046.6,11682,68.4,1673,55.2
25,HUMLA,6,,,,0,,0,6,0.2
26,ILAM,1,37754,8421.8,2804,440.3,15596,462.6,1813,149.8
27,JAJARKOT,6,87,0.9,186,2.9,190,0.7,913,24.6
28,JHAPA,1,1336,222.2,214,43.9,21307,377.5,17795,139.6
29,JUMLA,6,,,,0,,0,33,0.4
