DISTRICT,State,Fowl
ACHHAM,7,87201
ARGHAKHANCHI,5,493214
BAGLUNG,4,389249
BAITADI,7,29496
BAJHANG,7,49539
BAJURA,7,54691
BANKE,5,1146410
BARA,2,600983
BARDIYA,5,487445
BHAKTAPUR,3,2855907
BHOJPUR,1,322655
CHITAWAN,3,18875631
DADELDHURA,7,66284
DAILEKH,6,161650
DANG,5,3180939
DARCHULA,7,37348
DHADING,3,2298399
DHANKUTA,1,588912
DHANUSHA,2,948972
DOLAKHA,3,521496
DOLPA,6,42329
DOTI,7,127770
GORKHA,4,592781
GULMI,5,255081
HUMLA,6,15406
ILAM,1,525401
JAJARKOT,6,152066
JHAPA,1,1430000
JUMLA,6,67362
KABHREPALANCHOK,3,2891589
KAILALI,7,1541163
KALIKOT,6,63095
KANCHANPUR,7,1033936
KAPILBASTU,5,720915
KASKI,4,2858939
KATHMANDU,3,3076233
KHOTANG,1,363494
LALITPUR,3,1505888
LAMJUNG,4,320981
MAHOTTARI,2,679530
MAKAWANPUR,3,2130429
MANANG,4,7105
MORANG,1,1795399
MUGU,6,12540
MUSTANG,4,10153
MYAGDI,4,211005
NAWALPARASI_E,4,921278
NAWALPARASI_W,5,549013
NUWAKOT,3,916109
OKHALDHUNGA,1,301162
PALPA,5,762240
PANCHTHAR,1,371580
PARBAT,4,297284
PARSA,2,866021
PYUTHAN,5,324099
RAMECHHAP,3,305576
RASUWA,3,102000
RAUTAHAT,2,338231
ROLPA,5,498287
RUKUM_E,5,128789
RUKUM_W,6,403581
RUPANDEHI,5,1361151
SALYAN,6,428225
SANKHUWASABHA,1,434371
SAPTARI,2,1180162
SARLAHI,2,639152
SINDHULI,3,1123651
SINDHUPALCHOK,3,471852
SIRAHA,2,961438
SOLUKHUMBU,1,244950
SUNSARI,1,1250500
SURKHET,6,353249
SYANGJA,4,480795
TANAHU,4,580953
TAPLEJUNG,1,243185
TERHATHUM,1,228634
UDAYAPUR,1,723548
